label,vars,var0_min,var0_max,var1_min,var1_max,value,stat_up,stat_down,syst_up,syst_down
Reco,pt_eta,2.00000000000000000000e+01,2.00000000000000000000e+01,-2.50000000000000000000e+00,-2.00000000000000000000e+00,1.01641137855579843929e+00,3.94480445893215757314e-03,3.94480445893215757314e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,2.00000000000000000000e+01,2.00000000000000000000e+01,-2.00000000000000000000e+00,-1.56599999999999961453e+00,9.97925311203319620468e-01,2.74455530193422423541e-03,2.74455530193422423541e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,2.00000000000000000000e+01,2.00000000000000000000e+01,-1.56599999999999961453e+00,-1.44399999999999995026e+00,9.90772779700115235890e-01,7.98684411869161337005e-02,7.98684411869161337005e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,2.00000000000000000000e+01,2.00000000000000000000e+01,-1.44399999999999995026e+00,-1.00000000000000000000e+00,9.91786447638603574362e-01,2.71637711608274396574e-03,2.71637711608274396574e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,2.00000000000000000000e+01,2.00000000000000000000e+01,-1.00000000000000000000e+00,-5.00000000000000000000e-01,9.86721144024514829063e-01,2.50203242368046913438e-03,2.50203242368046913438e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,2.00000000000000000000e+01,2.00000000000000000000e+01,-5.00000000000000000000e-01,0.00000000000000000000e+00,9.83589743589743603636e-01,2.71359108827137632605e-03,2.71359108827137632605e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,2.00000000000000000000e+01,2.00000000000000000000e+01,0.00000000000000000000e+00,5.00000000000000000000e-01,9.83589743589743603636e-01,2.71359108827137632605e-03,2.71359108827137632605e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,2.00000000000000000000e+01,2.00000000000000000000e+01,5.00000000000000000000e-01,1.00000000000000000000e+00,9.86721144024514829063e-01,2.50203242368046913438e-03,2.50203242368046913438e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,2.00000000000000000000e+01,2.00000000000000000000e+01,1.00000000000000000000e+00,1.44399999999999995026e+00,9.91786447638603574362e-01,2.71637711608274396574e-03,2.71637711608274396574e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,2.00000000000000000000e+01,2.00000000000000000000e+01,1.44399999999999995026e+00,1.56599999999999961453e+00,9.90772779700115235890e-01,7.98684411869161337005e-02,7.98684411869161337005e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,2.00000000000000000000e+01,2.00000000000000000000e+01,1.56599999999999961453e+00,2.00000000000000000000e+00,9.97925311203319620468e-01,2.74455530193422423541e-03,2.74455530193422423541e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,2.00000000000000000000e+01,2.00000000000000000000e+01,2.00000000000000000000e+00,2.50000000000000000000e+00,1.01641137855579843929e+00,3.94480445893215757314e-03,3.94480445893215757314e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,-2.50000000000000000000e+00,-2.00000000000000000000e+00,1.00212765957446792164e+00,6.38297872340416131559e-03,6.38297872340416131559e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,-2.00000000000000000000e+00,-1.56599999999999961453e+00,9.96907216494845149768e-01,4.49371025107286360678e-03,4.49371025107286360678e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,-1.56599999999999961453e+00,-1.44399999999999995026e+00,9.62243797195253547372e-01,2.29851949866909724407e-02,2.29851949866909724407e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,-1.44399999999999995026e+00,-1.00000000000000000000e+00,9.91845056065239649712e-01,5.29679146045528709275e-03,5.29679146045528709275e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,-1.00000000000000000000e+00,-5.00000000000000000000e-01,9.87817258883248561219e-01,3.51685443161193610900e-03,3.51685443161193610900e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,-5.00000000000000000000e-01,0.00000000000000000000e+00,9.86761710794297419724e-01,3.52759838608732905277e-03,3.52759838608732905277e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,0.00000000000000000000e+00,5.00000000000000000000e-01,9.86761710794297419724e-01,3.52759838608732905277e-03,3.52759838608732905277e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,5.00000000000000000000e-01,1.00000000000000000000e+00,9.87817258883248561219e-01,3.51685443161193610900e-03,3.51685443161193610900e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,1.00000000000000000000e+00,1.44399999999999995026e+00,9.91845056065239649712e-01,5.29679146045528709275e-03,5.29679146045528709275e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,1.44399999999999995026e+00,1.56599999999999961453e+00,9.62243797195253547372e-01,2.29851949866909724407e-02,2.29851949866909724407e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,1.56599999999999961453e+00,2.00000000000000000000e+00,9.96907216494845149768e-01,4.49371025107286360678e-03,4.49371025107286360678e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,4.50000000000000000000e+01,4.50000000000000000000e+01,2.00000000000000000000e+00,2.50000000000000000000e+00,1.00212765957446792164e+00,6.38297872340416131559e-03,6.38297872340416131559e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,-2.50000000000000000000e+00,-2.00000000000000000000e+00,1.01802757158006373928e+00,1.22296528045289475128e-02,1.22296528045289475128e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,-2.00000000000000000000e+00,-1.56599999999999961453e+00,1.01541623843782136127e+00,1.06806832943610180431e-02,1.06806832943610180431e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,-1.56599999999999961453e+00,-1.44399999999999995026e+00,1.03289473684210508786e+00,4.41465397789415694985e-02,4.41465397789415694985e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,-1.44399999999999995026e+00,-1.00000000000000000000e+00,1.00811359026369151692e+00,5.55499551222278075552e-03,5.55499551222278075552e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,-1.00000000000000000000e+00,-5.00000000000000000000e-01,1.00507614213197982167e+00,4.65236111163029510823e-03,4.65236111163029510823e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,-5.00000000000000000000e-01,0.00000000000000000000e+00,9.96945010183299173967e-01,6.44048403292949225851e-03,6.44048403292949225851e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,0.00000000000000000000e+00,5.00000000000000000000e-01,9.96945010183299173967e-01,6.44048403292949225851e-03,6.44048403292949225851e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,5.00000000000000000000e-01,1.00000000000000000000e+00,1.00507614213197982167e+00,4.65236111163029510823e-03,4.65236111163029510823e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,1.00000000000000000000e+00,1.44399999999999995026e+00,1.00811359026369151692e+00,5.55499551222278075552e-03,5.55499551222278075552e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,1.44399999999999995026e+00,1.56599999999999961453e+00,1.03289473684210508786e+00,4.41465397789415694985e-02,4.41465397789415694985e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,1.56599999999999961453e+00,2.00000000000000000000e+00,1.01541623843782136127e+00,1.06806832943610180431e-02,1.06806832943610180431e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,7.50000000000000000000e+01,7.50000000000000000000e+01,2.00000000000000000000e+00,2.50000000000000000000e+00,1.01802757158006373928e+00,1.22296528045289475128e-02,1.22296528045289475128e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,1.00000000000000000000e+02,1.00000000000000000000e+02,-2.50000000000000000000e+00,-2.00000000000000000000e+00,9.84309623430962177260e-01,1.74407238499299857559e-02,1.74407238499299857559e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,1.00000000000000000000e+02,1.00000000000000000000e+02,-2.00000000000000000000e+00,-1.56599999999999961453e+00,1.00000000000000000000e+00,1.01529330317002008943e-02,1.01529330317002008943e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,1.00000000000000000000e+02,1.00000000000000000000e+02,-1.56599999999999961453e+00,-1.44399999999999995026e+00,1.00217627856365609773e+00,4.65362454414431150895e-02,4.65362454414431150895e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,1.00000000000000000000e+02,1.00000000000000000000e+02,-1.44399999999999995026e+00,-1.00000000000000000000e+00,9.86881937436932643593e-01,6.84392531092358012007e-03,6.84392531092358012007e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,1.00000000000000000000e+02,1.00000000000000000000e+02,-1.00000000000000000000e+00,-5.00000000000000000000e-01,9.93939393939394011390e-01,5.80258853185659524004e-03,5.80258853185659524004e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,1.00000000000000000000e+02,1.00000000000000000000e+02,-5.00000000000000000000e-01,0.00000000000000000000e+00,9.85829959514169629209e-01,6.86470646065310847322e-03,6.86470646065310847322e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,1.00000000000000000000e+02,1.00000000000000000000e+02,0.00000000000000000000e+00,5.00000000000000000000e-01,9.85829959514169629209e-01,6.86470646065310847322e-03,6.86470646065310847322e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,1.00000000000000000000e+02,1.00000000000000000000e+02,5.00000000000000000000e-01,1.00000000000000000000e+00,9.93939393939394011390e-01,5.80258853185659524004e-03,5.80258853185659524004e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,1.00000000000000000000e+02,1.00000000000000000000e+02,1.00000000000000000000e+00,1.44399999999999995026e+00,9.86881937436932643593e-01,6.84392531092358012007e-03,6.84392531092358012007e-03,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,1.00000000000000000000e+02,1.00000000000000000000e+02,1.44399999999999995026e+00,1.56599999999999961453e+00,1.00217627856365609773e+00,4.65362454414431150895e-02,4.65362454414431150895e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,1.00000000000000000000e+02,1.00000000000000000000e+02,1.56599999999999961453e+00,2.00000000000000000000e+00,1.00000000000000000000e+00,1.01529330317002008943e-02,1.01529330317002008943e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Reco,pt_eta,1.00000000000000000000e+02,1.00000000000000000000e+02,2.00000000000000000000e+00,2.50000000000000000000e+00,9.84309623430962177260e-01,1.74407238499299857559e-02,1.74407238499299857559e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
